"Employer Name","CBA File","Location","Union","Expiration Date","NAICS*","#Wrkrs","Type"
"AGC, CT/CCIA & MASON CONTRACTORS ASSOCIATION (BLDG)",1220,"CT"," (BAC) 1","Mar 31, 2012","23622","1070","PRIVATE"
"AGC, CT/CCIA & MASON CONTRACTORS ASSOCIATION (BLDG)",1221,"CT"," (BAC) 1","Mar 31, 2006","23622","1070","PRIVATE"
"AGC, GA - ATLANTA",1416,"GA ATLANTA"," (UBC) 225","Jun 30, 2007","23621","1300","PRIVATE"
"AGC, IL",1788,"IL"," (CJA) -","Jan 1, 1800","23622","1000","PRIVATE"
"AGC, IL - CENTRAL IL BUILDERS",1671,"IL CENTRAL","LABORERS  (LIUNA) 159/LABORERS  (LIUNA) 171/LABORERS  (LIUNA) 253/LABORERS  (LIUNA) 477/LABORERS  (LIUNA) 624/LABORERS  (LIUNA) 703","Apr 30, 2008","23622","1300","PRIVATE"
"AGC, IL - CENTRAL IL BUILDERS, ET .AL.",1432,"IL CENTRAL"," (CJA) MID-CNTRL IL DC","Apr 30, 2009","23622","4500","PRIVATE"
"AGC, IL - CENTRAL IL BUILDERS, ET .AL.",1433,"IL CENTRAL"," (UBC) MID-CNTRL IL DC","Apr 30, 2006","23622","4500","PRIVATE"
"AGC, IL - EASTERN & OTHERS",919,"IL EASTERN","ENGINEERS, OPERATING, AFL-CIO (IUOE) 841","Dec 31, 2007","23622","1000","PRIVATE"
"AGC, IL -(EGYPTIAN CONTRACTORS ASSOCIATION)",1530,"IL"," (CJA) -","Apr 30, 2008","23622","1000","PRIVATE"
"AGC, IL (HWY-HVY) HIGHWAY DISTRICT 5",903,"IL CENTRAL"," (LIUNA) CNTRL IL DC","Apr 30, 2008","23731","1800","PRIVATE"
"AGC, IL (HWY-HVY) HIGHWAY DISTRICT 6",904,"IL CENTRAL"," (LIUNA) CNTRL IL DC","Apr 30, 2009","23731","2300","PRIVATE"
"AGC, IL (HWY-HVY) HIGHWAY DISTRICTS 1-8",930,"IL"," (UBC) D&RC","Jul 31, 2006","23731","11100","PRIVATE"
"AGC, IL (SEVEN COUNTIES)",2141,"CA","LABORERS  (LIUNA) 231","Apr 30, 2016","237310",,"PRIVATE"
"AGC, IL EGYPTIAN CONTRACTORS INC. ET AL (HVY/HWY DISTRICT 7&9)",905,"IL SOUTHERN","LABORERS  (LIUNA) 0 SOUTHERN ILLINOIS","Mar 31, 2008","23731","1200","PRIVATE"
"AGC, IN",1422,"IN INDIANAPOLIS"," (UBC) IN RCC-CNTRL","May 31, 2008","23622","4800","PRIVATE"
"AGC, IN",1574,"IN","LABORERS  (LIUNA) 1047/LABORERS  (LIUNA) 1112/LABORERS  (LIUNA) 120/LABORERS  (LIUNA) 204/LABORERS  (LIUNA) 274/LABORERS  (LIUNA) 741","May 31, 2008","23622","4600","PRIVATE"
"AGC, IN",1686,"IN INDIANAPOLIS","LABORERS  (LIUNA) 1047/LABORERS  (LIUNA) 1112/LABORERS  (LIUNA) 120/LABORERS  (LIUNA) 204/LABORERS  (LIUNA) 274/LABORERS  (LIUNA) 741","May 31, 2005","23622","1500","PRIVATE"
